t;x;y;dx;dy;dpsi;dx_dot;dy_dot;dpsi_dot;v;acc;s
86.109925786; 0.2805246114730835; 3.901268482208252; 0.15001123527421342; -0.012459373770374187; -0.010252099774167625; -2.772147485649801e-05; -0.1540491972457041; -0.4366487011579518; 0.5646995843241513; 0.3068770573239203; -0.28600716303609497
86.129892327; 0.2897961735725403; 3.8962011337280273; 0.14996691564159545; -0.0205853330351628; -0.024122593944008567; -0.00026004268085076904; -0.3736700357063307; -0.8925394596664376; 0.5427721282124295; 0.36049609579442127; -0.592491268047945
86.239894677; 0.3489057123661041; 3.8717153072357178; 0.15002721960520457; -0.0176944392735228; -0.04386850125618388; -1.6509120346117404e-05; -0.19315294751023168; -0.7173173301822614; 0.5667692701219408; 0.30294912655179984; -0.4347911823992391
86.339887153; 0.4045118987560272; 3.8548672199249268; 0.15002561843524734; -0.022629695883043664; -0.038436085112625175; -0.0001275522498120333; -0.1440978885461066; -0.2632394600554634; 0.575624413776817; 0.30261038941872515; -0.32704965375200334
86.3699235; 0.4205145537853241; 3.8495194911956787; 0.14999469944964486; -0.02447798397217676; -0.024778830646084844; -0.00044254699664217606; -0.1251232301906367; 0.4652839307436184; 0.567047277048942; 0.3301710279203316; -0.1911726866872428
86.439902699; 0.4596932530403137; 3.8387253284454346; 0.1500107068140095; -0.023333073329699677; -0.008428736999415508; -0.00021747441720985165; -0.05933199106429045; 0.5597037051369681; 0.5754958352321919; 0.3043255332843011; -0.08615678230720178
86.509936269; 0.49832287430763245; 3.8284292221069336; 0.14999828399103668; -0.018841936237243395; -0.008687399420370442; -0.00018942424691022346; 0.011457598938479821; 0.25185048086075434; 0.5726153244790618; 0.30434836793389114; -0.052648198926002546
86.569892031; 0.5300171971321106; 3.816092014312744; 0.14999298116189935; -0.017086110548201482; 0.005696556199558153; -9.473612568164373e-05; 0.027070108751095688; 0.459183102874279; 0.5693091385328577; 0.3067295169394437; 0.015315498488048479
86.589941685; 0.544965386390686; 3.8137428760528564; 0.15019265472867518; -0.006520769132435055; 0.01829561077015599; 9.842594262239662e-05; 0.38538538425296637; 0.827804885974936; 0.6838903096704568; 0.3612896048572204; 0.4208814045941979
86.689935955; 0.5963649749755859; 3.7956957817077637; 0.14992734695996926; -0.002509903003190688; 0.026728200746358836; -0.0007809839285251505; 0.24634710754567304; 0.5308503809170091; 0.5979464569774351; 0.3011663865944732; 0.3341550296416353
86.749895545; 0.6279332637786865; 3.784717321395874; 0.14992675883577616; 0.0031689652762063136; 0.02924528239507501; 8.435613170069815e-05; 0.2057679207378458; 0.2972022017792204; 0.5729278995001604; 0.3069530038482187; 0.2842341485739822
86.809889658; 0.6593055725097656; 3.770437717437744; 0.14997398466062006; 0.0012355442667484288; 0.034071997954230736; 0.0005778691346507358; 0.09347335452630592; 0.24923865735209902; 0.5739200452213011; 0.30798498644487254; 0.17748204953670688
86.869893883; 0.688746452331543; 3.7539165019989014; 0.1499803377951258; 0.00048081544837684325; 0.03142646285711298; 0.000515200990884502; 0.043939953548486066; 0.0476869460664153; 0.5669364285815608; 0.30787251314040276; 0.09095247514681104
86.919877225; 0.7129536271095276; 3.740004062652588; 0.14998566213413939; -0.0015986374144471337; 0.012119283731843244; 0.0004622970802569023; -0.004380897316949239; -0.519615213207222; 0.5617779246048186; 0.31166153262768254; -0.07618179840203801
86.989873508; 0.7472442984580994; 3.720518112182617; 0.1499981193746955; -0.004480156479924033; -0.024816672370249995; 0.00035049307121068335; -0.031385248507917005; -1.0199178792933103; 0.5628207687790782; 0.30539923496890736; -0.243973371773428
87.029875557; 0.7582148313522339; 3.7083375453948975; 0.14983918499875745; -0.015321618128400761; -0.04812000750038549; 0.0002187043542039819; -0.20833108598151134; -1.1922961882920387; 0.4682557908169964; 0.31785654672744657; -0.49036364970613316
87.319998125; 0.9116554856300354; 3.642956018447876; 0.15005253704662452; -0.035458963517077884; -0.06407899540781095; 0.00036443972386442184; -0.16668392498249784; -0.71913528874027; 0.5342218829372171; 0.3155706466759256; -0.49034613523692366
87.849949958; 1.1959960460662842; 3.577178478240967; 0.15003848970967526; -0.023690565805064463; -0.05280187588572626; 0.00016312821575164646; -0.07873300103775255; -0.34950548267480336; 0.5443772637503289; 0.3291218684558128; -0.3050234068889205
87.889882255; 1.2221615314483643; 3.574157953262329; 0.15013662831219074; -0.009058786895625136; -0.010557901011889421; -0.0003262822020468517; 0.213089305156472; 1.2696206103841927; 0.6155600657558413; 0.3174358563173096; 0.2945883393990506
87.949877874; 1.2500370740890503; 3.573564052581787; 0.14989222787663362; 0.011072526153574092; 0.00592350821774577; -0.001173530446167545; 0.3567083071517577; 0.9631741290568292; 0.5224045292242495; 0.3044450057136995; 0.5231738764293791
88.009883396; 1.285382866859436; 3.572688102722168; 0.15002577438494388; 0.027623879324587302; 0.026410011471088977; 0.0001160294911386763; 0.3951113589810306; 0.921770546026067; 0.5637902659638209; 0.30718340630168783; 0.6534211658588033
88.089886059; 1.330319881439209; 3.572354316711426; 0.15000859298110583; 0.03552615985190452; 0.05608667990948754; -7.426198648237471e-05; 0.29235394654203384; 0.9911778727166916; 0.5625536000391811; 0.30340352022951966; 0.6444747843691132
88.159905954; 1.3701517581939697; 3.572445869445801; 0.15001061019589726; 0.053364234379254374; 0.07828600317914963; -9.53061587066966e-05; 0.34360021835114113; 0.9227929171075294; 0.566545510477786; 0.3045552960270853; 0.7604767318327382
88.219962718; 1.4034175872802734; 3.574152946472168; 0.14999265163962344; 0.08036575927575207; 0.11167323380090044; -0.00013063886640231378; 0.5088089053110799; 1.2122098492257722; 0.5593358332130571; 0.3066303867477334; 0.95
88.289927388; 1.441500186920166; 3.5709667205810547; 0.14998385428371977; 0.09378516688510849; 0.16183240943815524; -2.829782662339536e-05; 0.4199257751015625; 1.6161936196835784; 0.5513271157851356; 0.30464498711867616; 0.95
88.349930059; 1.4728739261627197; 3.564296007156372; 0.14997674507003675; 0.10418075106302403; 0.16799109426469586; 0.00010084246581174669; 0.3564687977219477; 0.8687706521609041; 0.5410349983572833; 0.3070645532686094; 0.95
88.409953582; 1.5030162334442139; 3.553363800048828; 0.14998441935271367; 0.1070922842578887; 0.16960741867102871; 0.00022529567067788815; 0.23319216298589035; 0.42674904264837804; 0.5368151977075049; 0.30731351019822395; 0.865149407671469
88.469881566; 1.5309616327285767; 3.539537191390991; 0.1499775647489373; 0.10955644420473772; 0.13757054592599013; 0.00024036176755247836; 0.15947592369663668; -0.5820413913114948; 0.5266009818451236; 0.3073575623580471; 0.6223903941106687
88.529881336; 1.5586425065994263; 3.52437424659729; 0.14999178639826627; 0.11045991942516904; 0.10663616808852569; 0.0002983615633956308; 0.10002084089793296; -1.0052009289985082; 0.52625153834676; 0.3074752891023556; 0.47335341770073913
88.58988835; 1.584282398223877; 3.5069987773895264; 0.1499872515043598; 0.10477226510861339; 0.06540023488369916; 0.00022823566859093617; -0.010311316991792913; -1.4419246066224476; 0.5199993447334561; 0.30732915975017927; 0.25398584205050434
88.649862348; 1.6086307764053345; 3.4936563968658447; 0.14993579158257714; 0.09121818748439721; -0.011714612382067204; 0.00022143143567958647; -0.16452845699641055; -2.5020761030134193; 0.48473567959375613; 0.30723072979520794; -0.1625142657773806
88.709934772; 1.6334806680679321; 3.4767305850982666; 0.14999313122775126; 0.0842380996060797; -0.052580596591018686; 0.0005894302400216552; -0.17486955308333862; -2.101812259432175; 0.49449889403167574; 0.3080201311746462; -0.18304607356703137
88.769870689; 1.657423734664917; 3.461069345474243; 0.14998169996082247; 0.07937165690596981; -0.09078700368978962; 0.0003832319920627229; -0.15655931069615772; -1.8602758432715532; 0.4839133777513388; 0.30763934232725443; -0.17700419244684162
88.829869869; 1.6850672960281372; 3.447345495223999; 0.15002685525770118; 0.07278832527598332; -0.1343569925155251; 0.0003492611746617464; -0.16642139470771175; -1.8810486472345676; 0.5027641414627398; 0.30763852862368213; -0.2480529751558985
88.889876245; 1.7108668088912964; 3.4333078861236572; 0.14999777490927374; 0.06468958341525241; -0.14387070768858443; 3.2434248786179613e-06; -0.18996955449930764; -1.0701752251543861; 0.4945705092748046; 0.3069133579313995; -0.17897595121031865
88.949919616; 1.7375447750091553; 3.4191625118255615; 0.1500080826104164; 0.0611732730052935; -0.16145932487119674; 1.792771829724208e-05; -0.14988484767301066; -0.90189621935738; 0.4997333308242658; 0.30695012348158834; -0.14448050124836742
89.00989825; 1.766234040260315; 3.4068567752838135; 0.15002484422694431; 0.06841021969112629; -0.16075317574925818; -4.837742962220144e-05; -0.00100455452543044; -0.3854377048996944; 0.5125298139797481; 0.3068713045059183; 0.09155689587997631
89.069906447; 1.7951189279556274; 3.3924453258514404; 0.1500361505966332; 0.06337349761226577; -0.1441669718727662; -0.0002071581863148543; -0.05951165610436839; 0.2271315497112909; 0.5282312009100957; 0.3065763700388376; 0.14942840549301387
89.129866863; 1.8231921195983887; 3.3790862560272217; 0.15000281948425753; 0.05763975111605534; -0.12295812641194623; -0.00037901579562569674; -0.1012052341857414; 0.6124401966457657; 0.5222245454585237; 0.3061962075761671; 0.1750636718778072
89.189945531; 1.8505903482437134; 3.363250970840454; 0.1500044386150588; 0.055455870599783394; -0.110183005417696; -0.00023480464573649135; -0.08331902845531797; 0.58097928877215; 0.5250123286626875; 0.30644424900813727; 0.1875158201555273
89.239876376; 1.872583270072937; 3.3490114212036133; 0.150000458319239; 0.060805697062803345; -0.07060011099694033; -0.00017144224466437394; 0.027793814994457877; 1.3584174749274536; 0.5248306981620866; 0.31049033315635616; 0.45873268668726697
89.309879178; 1.9032107591629028; 3.3275115489959717; 0.15000977750392386; 0.05669575715586663; -0.07203021779091821; -9.983514307110133e-05; -0.02545395211694433; 0.5938850374235144; 0.5308401457588136; 0.3045477569121346; 0.2883451909042617
89.36986881199999; 1.9285837411880493; 3.308971405029297; 0.14999598807391754; 0.049165800441598316; -0.06827058099607818; -0.00012725918441903883; -0.10268153507431466; 0.3558388294580535; 0.5265159664605606; 0.30666236053680784; 0.1503704682402966
89.429902082; 1.9519257545471191; 3.2885265350341797; 0.149987821620563; 0.04782710779052863; -0.08232562790164663; -4.2975001622126235e-05; -0.07413885663961182; -0.17941537036390115; 0.5205601457892213; 0.3067978666386315; 0.06179633632275387
89.489940378; 1.9749342203140259; 3.2680470943450928; 0.14998729246694154; 0.045395912040827095; -0.08086517024700413; 6.37737931591809e-05; -0.07066708171166042; -0.0450965817343201; 0.5159212403118912; 0.3070020102128486; 0.07255699159851896
89.549934009; 2.0000035762786865; 3.2468864917755127; 0.1500281257188212; 0.03596892710358244; -0.08421872896503667; 0.00012806182286849465; -0.15062467893072512; -0.1012276720811092; 0.5350328575549893; 0.30721444082421034; -0.04293351578618459
89.609870366; 2.0237860679626465; 3.2232632637023926; 0.15003690852816765; 0.03215174229206973; -0.09802366206140165; -0.00013133016697775641; -0.13055718030846183; -0.378236059984678; 0.5500254851129686; 0.30674520284106027; -0.10729493725995898
89.669917469; 2.046693801879883; 3.2048661708831787; 0.14994986462281093; 0.016503156924153193; -0.08110448059664409; -0.00034122010272012086; -0.2575394313055069; 0.23733456000490039; 0.5125271446339228; 0.30614688979613425; -0.17411972730836897
89.719974989; 2.0659990310668945; 3.1865904331207275; 0.14999937559681117; 0.01053866882591531; -0.058576510795090395; 0.00024189161481745578; -0.2302639866325883; 0.7309729635914308; 0.5240079517904979; 0.3112231975136182; -0.08551679154570153
89.78994011; 2.0950939655303955; 3.1605896949768066; 0.15003650067378296; 0.004057237881639473; -0.03797781281999198; 0.00014072365098022967; -0.19568114661696942; 0.7710899591593988; 0.5448585278067354; 0.30506836175216195; -0.05892183202115032
89.849957261; 2.119668960571289; 3.140036106109619; 0.15000289376678153; 0.0015784388313002011; -0.02888626927154569; -0.00018449012849492237; -0.14006138193324452; 0.5632389310366548; 0.5380328320331269; 0.3065564179769062; -0.049159814708037305
89.899930304; 2.140702962875366; 3.1225953102111816; 0.15000965934669477; 0.0006127263128859791; -0.016132313534039832; -0.00012952013009390033; -0.09295493597364571; 0.599010469971609; 0.5434400267260916; 0.31056704101865423; 0.0032522454493838617
89.969884472; 2.1663851737976074; 3.0978283882141113; 0.14996794513566863; 0.000241705260735181; -0.007216304740828742; -0.00013323779343523627; -0.05639211731204775; 0.46384195492015495; 0.522793841030093; 0.30441445146709945; 0.022113812831938962
90.029911768; 2.209502696990967; 3.0682525634765625; 0.15035484497878482; -0.006000229040201494; 0.002444252570511966; 0.00015651800594593653; -0.10469845756547175; 0.4396622921457169; 0.7380174672150056; 0.3078613763794469; -0.041019724443399894
90.099907045; 2.219679355621338; 3.049713134765625; 0.149676137782101; -0.008133974665470162; 0.030148773199051817; -0.002112949306953553; -0.08101561921816211; 0.7878796498268148; 0.4686496595472131; 0.3000419186353693; 0.047605088256645056
90.149922507; 2.2408030033111572; 3.0306737422943115; 0.14997373087757443; -0.004885301208511407; 0.047399921628257694; 0.0016165461420993388; 0.00010314886860234018; 0.8214072048498728; 0.5304052933049204; 0.31385510208282785; 0.1610944464389891
